Quadras;longitude;latitude
391;-45,21054561;-22,79209958
392;-45,21015119;-22,79423385
393;-45,21015119;-22,79423385
394;-45,20913239;-22,79325325
394;-45,21053204;-22,79507077
395;-45,21002588;-22,7935054
396;-45,21015848;-22,79397639
397;-45,21000373;-22,79465966
398;-45,20976808;-22,79673911
399;-45,20976808;-22,79673911
40;-45,2670213;-22,79269703
400;-45,2106601;-22,79562013
401;-45,21006903;-22,79595409
402;-45,21001457;-22,79493114
404;-45,20903889;-22,79735531
405;-45,21034308;-22,79665379
406;-45,20903889;-22,79735531
407;-45,20789513;-22,79611436
408;-45,20754159;-22,7956648
409;-45,20754159;-22,7956648
41;-45,2670213;-22,79269703
410;-45,20789513;-22,79611436
411;-45,2082502;-22,79836654
412;-45,20903889;-22,79735531
413;-45,20753351;-22,79826686
414;-45,20755667;-22,79763419
415;-45,20850155;-22,79761528
416;-45,2082502;-22,79836654
417;-45,20729446;-22,79864153
418;-45,20729446;-22,79864153
419;-45,20729446;-22,79864153
42;-45,2670213;-22,79269703
420;-45,2082403;-22,79951116
421;-45,20770738;-22,80105809
422;-45,2082403;-22,79951116
423;-45,20751965;-22,79968336
424;-45,20654977;-22,79901482
425;-45,20654977;-22,79901482
427;-45,20654977;-22,79901482
428;-45,2069271;-22,80163584
429;-45,2069271;-22,80163584
43;-45,25645136;-22,78973613
430;-45,20256403;-22,79816101
430;-45,20256403;-22,79816101
431;-45,20427575;-22,80037848
432;-45,20427575;-22,80037848
433;-45,20427575;-22,80037848
434;-45,20511227;-22,80172071
434;-45,20511227;-22,80172071
435;-45,20427575;-22,80037848
437;-45,20602334;-22,79456743
438;-45,20224499;-22,79902293
439;-45,20503455;-22,80241649
44;-45,2670213;-22,79269703
440;-45,20503455;-22,80241649
441;-45,20512886;-22,80326567
442;-45,20512886;-22,80326567
443;-45,20505652;-22,80493695
444;-45,20505652;-22,80493695
445;-45,2040372;-22,80327645
448;-45,20419315;-22,80138595
436;-45,20165292;-22,80142992
449;-45,20086637;-22,80163332
450;-45,20080095;-22,80010436
451;-45,20080095;-22,80010436
452;-45,20080095;-22,80010436
453;-45,19988654;-22,79922091
454;-45,20541232;-22,80575698
455;-45,20541232;-22,80575698
456;-45,20468479;-22,80510165
458;-45,20473443;-22,80634765
459;-45,20503114;-22,806441
46;-45,25624523;-22,7917331
461;-45,20381867;-22,80568444
462;-45,20381867;-22,80568444
463;-45,20381867;-22,80568444
464;-45,2016322;-22,80406245
465;-45,20079554;-22,80197303
466;-45,20079554;-22,80197303
467;-45,20202812;-22,80244136
468;-45,20091051;-22,80162865
469;-45,20419315;-22,80138595
47;-45,25645136;-22,78973613
470;-45,20419315;-22,80138595
471;-45,20079554;-22,80197303
45;-45,2670213;-22,79269703
472;-45,19864714;-22,80138548
473;-45,19803824;-22,79954209
474;-45,20341393;-22,80628661
474;-45,20341393;-22,80628661
474;-45,20341393;-22,80628661
475;-45,20137257;-22,80444942
476;-45,20115244;-22,8040689
477;-45,20115244;-22,8040689
478;-45,20115244;-22,8040689
479;-45,20043726;-22,80349577
48;-45,25683357;-22,79314373
480;-45,19921077;-22,80207584
481;-45,19624056;-22,80243718
482;-45,20115742;-22,80708903
483;-45,19945994;-22,80527161
484;-45,19793564;-22,80523078
485;-45,19793564;-22,80523078
486;-45,19793564;-22,80523078
487;-45,19793564;-22,80523078
488;-45,19745781;-22,80510084
49;-45,24656476;-22,79250692
502;-45,19726665;-22,75945423
507;-45,19480879;-22,76225911
508;-45,1933194;-22,76377272
509;-45,19297921;-22,76318845
510;-45,19482706;-22,76686638
511;-45,19413846;-22,76781982
512;-45,20067573;-22,76908151
513;-45,19482706;-22,76686638
514;-45,1944397;-22,77023648
515;-45,20059469;-22,76947902
515;-45,20059469;-22,76947902
516;-45,20067573;-22,76908151
517;-45,20289506;-22,77079756
518;-45,19975419;-22,76947799
518;-45,19975419;-22,76947799
519;-45,19788571;-22,76947062
520;-45,1962406;-22,76862693
521;-45,1962406;-22,76862693
522;-45,19630272;-22,77022775
522;-45,19321599;-22,77112687
523;-45,20328455;-22,77225482
523;-45,20328455;-22,77225482
523;-45,20328455;-22,77225482
524;-45,19976905;-22,77213456
525;-45,19976905;-22,77213456
526;-45,19976905;-22,77213456
527;-45,20081204;-22,77399337
528;-45,20081204;-22,77399337
529;-45,20081204;-22,77399337
530;-45,20081204;-22,77399337
531;-45,1963314;-22,77147622
532;-45,1963314;-22,77147622
533;-45,1963314;-22,77147622
534;-45,1963314;-22,77147622
535;-45,1963314;-22,77147622
536;-45,19663871;-22,77174645
537;-45,19404244;-22,77089779
538;-45,19404244;-22,77089779
539;-45,20328455;-22,77225482
54;-45,2670213;-22,79269703
540;-45,20328455;-22,77225482
541;-45,20081204;-22,77399337
542;-45,20081204;-22,77399337
543;-45,20081204;-22,77399337
544;-45,20081204;-22,77399337
545;-45,19810891;-22,77177208
546;-45,19565445;-22,77298185
547;-45,1951778;-22,77361144
548;-45,1951778;-22,77361144
549;-45,1951778;-22,77361144
55;-45,2670213;-22,79269703
550;-45,19416079;-22,7725237
551;-45,19416079;-22,7725237
552;-45,19547021;-22,77307806
553;-45,19729009;-22,78076153
556;-45,19864462;-22,78209925
56;-45,2670213;-22,79269703
567;-45,20170139;-22,78361523
568;-45,20113511;-22,79003324
569;-45,19644466;-22,79027669
57;-45,2670213;-22,79269703
570;-45,19644466;-22,79027669
572;-45,19759441;-22,79082447
573;-45,19644466;-22,79027669
574;-45,19579165;-22,79235292
574;-45,1959917;-22,78904764
575;-45,20057633;-22,79119609
576;-45,19759441;-22,79082447
577;-45,19759441;-22,79082447
578;-45,19759441;-22,79082447
579;-45,19759441;-22,79082447
58;-45,25624523;-22,7917331
580;-45,19644466;-22,79027669
581;-45,20057629;-22,79165717
583;-45,19815974;-22,79197136
584;-45,19815974;-22,79197136
585;-45,19787635;-22,79299117
586;-45,19787635;-22,79299117
587;-45,19787635;-22,79299117
588;-45,19779297;-22,79408657
589;-45,19572309;-22,79088592
59;-45,24804408;-22,7957095
590;-45,19572309;-22,79088592
591;-45,19572309;-22,79088592
592;-45,19572309;-22,79088592
593;-45,19572309;-22,79088592
594;-45,19572309;-22,79088592
595;-45,20135834;-22,79323625
596;-45,19978551;-22,79410253
597;-45,20135834;-22,79323625
597;-45,20017585;-22,79499838
598;-45,20135834;-22,79323625
599;-45,19587629;-22,79399522
600;-45,20135834;-22,79323625
601;-45,20017585;-22,79499838
602;-45,19984496;-22,79681035
603;-45,20017585;-22,79499838
604;-45,20017585;-22,79499838
605;-45,19938148;-22,79648519
606;-45,19894217;-22,7953922
610;-45,19477099;-22,79349024
612;-45,20125848;-22,79714276
613;-45,19805167;-22,79568828
614;-45,19871283;-22,7983297
615;-45,19649636;-22,7968263
616;-45,19649636;-22,7968263
617;-45,19636899;-22,79749915
618;-45,19624872;-22,79679944
619;-45,19902513;-22,79707483
62;-45,2670213;-22,79269703
620;-45,19903058;-22,79707483
621;-45,19714803;-22,79889428
623;-45,19636899;-22,79749915
624;-45,19636899;-22,79749915
625;-45,19632605;-22,80035223
625;-45,19632605;-22,80035223
626;-45,19676196;-22,79797176
627;-45,19676196;-22,79797176
628;-45,19711349;-22,79977473
629;-45,1976654;-22,79873664
63;-45,2670213;-22,79269703
630;-45,1976654;-22,79873664
631;-45,19714803;-22,79889428
632;-45,19632605;-22,80035223
633;-45,19632605;-22,80035223
634;-45,19632605;-22,80035223
635;-45,19786486;-22,79873666
636;-45,19935216;-22,79865784
637;-45,19803824;-22,79954209
637;-45,19803824;-22,79954209
638;-45,19803824;-22,79954209
639;-45,19803824;-22,79954209
64;-45,2670213;-22,79269703
640;-45,19624056;-22,80243718
641;-45,19372158;-22,80187795
642;-45,1935596;-22,80175084
643;-45,19372158;-22,80187795
644;-45,19372158;-22,80187795
645;-45,19372158;-22,80187795
646;-45,19372158;-22,80187795
647;-45,19372158;-22,80187795
648;-45,19651458;-22,80381262
649;-45,19343957;-22,77013888
65;-45,2670213;-22,79269703
650;-45,19343957;-22,77013888
651;-45,19343957;-22,77013888
652;-45,19343957;-22,77013888
653;-45,18801964;-22,77396126
655;-45,19009706;-22,77146831
656;-45,19054728;-22,77285921
657;-45,18925701;-22,77156002
658;-45,18925701;-22,77156002
659;-45,18925701;-22,77156002
660;-45,18803916;-22,77384106
661;-45,18740026;-22,77329544
662;-45,18740026;-22,77329544
663;-45,18570702;-22,77472521
664;-45,18649938;-22,77690718
665;-45,18569496;-22,77559782
666;-45,19416079;-22,7725237
667;-45,19158958;-22,7715163
668;-45,19158958;-22,7715163
668;-45,19158958;-22,7715163
669;-45,19158958;-22,7715163
67;-45,26161645;-22,79280993
670;-45,19158958;-22,7715163
671;-45,18925701;-22,77156002
672;-45,18921609;-22,77530884
673;-45,18740026;-22,77329544
674;-45,18921609;-22,77530884
675;-45,18649938;-22,77690718
676;-45,18569496;-22,77559782
677;-45,18569496;-22,77559782
678;-45,18321788;-22,77553186
679;-45,18570702;-22,77472521
68;-45,26161645;-22,79280993
680;-45,18569496;-22,77559782
681;-45,18321788;-22,77553186
682;-45,18740026;-22,77329544
683;-45,18514989;-22,77626484
686;-45,19374685;-22,77312689
688;-45,19292522;-22,77537831
698;-45,18404699;-22,77714887
699;-45,18404269;-22,77661995
70;-45,2502942;-22,80262266
700;-45,18404269;-22,77661995
701;-45,19653822;-22,77519866
701;-45,19653822;-22,77519866
705;-45,19062841;-22,78142476
705;-45,19062841;-22,78142476
71;-45,26161645;-22,79280993
716;-45,18404269;-22,77661995
718;-45,18404699;-22,77714887
719;-45,18391643;-22,77843775
72;-45,26161645;-22,79280993
720;-45,18391643;-22,77843775
721;-45,18404269;-22,77661995
426;-45,20444625;-22,80039783
73;-45,26161645;-22,79280993
732;-45,17755894;-22,77956871
734;;
736;-45,1872848;-22,7800017
737;-45,18728002;-22,77999729
738;-45,18705355;-22,78108378
739;-45,18705355;-22,78108378
74;-45,26161645;-22,79280993
740;-45,18524935;-22,77927535
741;-45,18374439;-22,78092143
742;-45,18728002;-22,77999729
743;;
744;-45,18374439;-22,78092143
745;-45,18374439;-22,78092143
746;-45,18374439;-22,78092143
747;-45,18118806;-22,78183476
748;-45,18204416;-22,78019152
749;-45,18190109;-22,7785685
